,id,duracion_estadia,genero,edad,ni�os,codigo_destino,tipo_acomodacion
209,1013853,8,F,,,UK,AirBnB
210,1007165,4,M,37.0,0.0,IT,Hotel
211,1000380,4,F,,0.0,NL,Hotel
212,1004093,4,M,36.0,1.0,AR,AirBnB
213,1001155,2,M,50.0,1.0,PE,Hotel
214,1004292,1,F,44.0,0.0,IT,Hotel
215,1001556,3,M,33.0,1.0,,AirBnB
216,1010570,2,F,37.0,1.0,,Hotel
217,1001509,5,M,39.0,1.0,NL,AirBnB
218,1009579,3,M,48.0,1.0,UK,Hotel
219,1012877,3,F,45.0,1.0,,AirBnB
220,1013107,5,F,35.0,1.0,COL,Hotel
221,1013968,5,M,34.0,0.0,NL,Hotel
222,1010131,6,F,41.0,0.0,AR,Hotel
223,1011232,2,F,,0.0,PE,Hotel
224,1011453,1,F,41.0,,,Hotel
225,1001093,3,M,37.0,1.0,PE,AirBnB
226,1004644,3,M,36.0,,COL,AirBnB
227,1000701,4,F,38.0,0.0,,AirBnB
228,1003853,1,F,43.0,1.0,US,AirBnB
229,1007969,5,F,,0.0,AR,Hotel
230,1007055,3,F,41.0,1.0,COL,AirBnB
231,1009012,4,F,37.0,1.0,AR,Hotel
232,1010243,5,M,34.0,0.0,NL,Hotel
233,1000669,5,M,40.0,0.0,ES,Hotel
234,1010655,1,F,32.0,1.0,US,Hotel
235,1000356,4,M,39.0,0.0,,Hotel
236,1010750,2,M,45.0,1.0,ES,Hotel
237,1006149,2,F,36.0,1.0,AR,Hotel
238,1002274,6,F,32.0,0.0,PE,AirBnB
239,1000517,5,M,35.0,0.0,ES,Hotel
240,1006416,8,F,43.0,,ES,Hotel
241,1002187,5,M,49.0,1.0,PE,Hotel
242,1002496,4,F,39.0,0.0,UK,AirBnB
243,1000911,3,F,34.0,1.0,COL,Hotel
244,1005148,5,F,42.0,1.0,US,AirBnB
245,1003915,3,F,42.0,1.0,IT,AirBnB
246,1013938,3,F,36.0,0.0,IT,AirBnB
247,1011113,3,F,35.0,0.0,AR,AirBnB
248,1012253,3,M,46.0,1.0,ES,Hotel
249,1005969,2,M,,0.0,UK,AirBnB
250,1005926,2,F,45.0,1.0,UK,AirBnB
251,1003796,2,M,40.0,0.0,NL,Hotel
252,1001511,4,M,42.0,1.0,US,Hotel
253,1000169,3,F,43.0,,US,AirBnB
254,1001281,2,F,40.0,1.0,ES,Hotel
255,1011361,5,M,41.0,1.0,AR,Hotel
256,1002514,3,M,47.0,,AR,Hotel
257,1006439,2,F,36.0,0.0,AR,AirBnB
258,1005913,3,F,37.0,1.0,ES,Hotel
259,1006512,4,M,34.0,,UK,AirBnB
260,1000927,5,F,33.0,1.0,IT,Hotel
261,1008887,1,M,43.0,1.0,,Hotel
262,1006767,2,M,,1.0,AR,Hotel
263,1003250,2,M,38.0,1.0,IT,AirBnB
264,1007216,7,M,45.0,0.0,IT,AirBnB
265,1003943,3,M,,0.0,COL,AirBnB
266,1007688,6,M,42.0,1.0,UK,Hotel
267,1001331,3,M,35.0,0.0,UK,Hotel
268,1003247,4,F,41.0,1.0,ES,AirBnB
269,1002704,3,F,38.0,1.0,,Hotel
270,1009832,6,F,42.0,0.0,PE,Hotel
271,1009954,6,M,41.0,0.0,,AirBnB
272,1011734,3,F,,0.0,UK,Hotel
273,1003516,3,M,33.0,0.0,PE,Hotel
274,1005506,3,F,41.0,1.0,IT,AirBnB
275,1007557,3,M,36.0,1.0,AR,AirBnB
276,1005463,5,F,46.0,1.0,US,AirBnB
277,1010009,3,M,,0.0,PE,AirBnB
278,1004990,5,F,36.0,1.0,PE,Hotel
279,1001713,3,F,34.0,0.0,IT,AirBnB
280,1006898,4,F,38.0,,,AirBnB
281,1009336,3,F,36.0,1.0,AR,Hotel
282,1008685,4,M,41.0,1.0,,Hotel
283,1010649,3,M,46.0,1.0,ES,Hotel
284,1004129,4,F,44.0,,UK,AirBnB
285,1009368,3,F,45.0,1.0,PE,AirBnB
286,1009870,5,M,35.0,0.0,ES,Hotel
287,1007944,4,F,39.0,1.0,US,Hotel
288,1000583,4,F,43.0,0.0,PE,Hotel
289,1012657,3,F,42.0,0.0,IT,Hotel
290,1001000,3,F,,1.0,IT,AirBnB
291,1001005,3,F,40.0,0.0,US,AirBnB
292,1008538,4,F,34.0,0.0,ES,AirBnB
293,1003906,2,M,36.0,1.0,NL,AirBnB
294,1004325,4,F,50.0,0.0,IT,Hotel
295,1001277,1,M,42.0,,AR,AirBnB
296,1009582,2,M,45.0,1.0,NL,Hotel
297,1013559,2,M,40.0,1.0,ES,AirBnB
298,1005080,10,F,34.0,0.0,COL,AirBnB
299,1007537,1,F,33.0,,PE,AirBnB
300,1010019,5,M,40.0,,,Hotel
301,1010885,3,F,45.0,0.0,NL,Hotel
302,1011562,5,M,47.0,1.0,US,Hotel
303,1005325,3,M,42.0,,AR,Hotel
304,1000255,3,M,42.0,1.0,ES,Hotel
305,1011528,6,M,41.0,0.0,AR,AirBnB
306,1012972,2,F,29.0,,PE,AirBnB
307,1002630,7,F,44.0,1.0,ES,AirBnB
308,1004832,6,M,39.0,0.0,,Hotel
309,1002644,4,M,40.0,1.0,ES,AirBnB
310,1010271,4,F,46.0,0.0,UK,Hotel
311,1013121,4,M,36.0,1.0,NL,AirBnB
312,1008554,6,F,,0.0,UK,Hotel
313,1005644,4,M,39.0,,UK,Hotel
314,1004897,8,F,,,US,Hotel
315,1004000,6,F,42.0,,AR,Hotel
316,1001030,8,F,31.0,0.0,NL,AirBnB
317,1007664,3,M,44.0,1.0,US,Hotel
318,1012673,4,M,39.0,1.0,,AirBnB
319,1011778,2,M,41.0,1.0,COL,Hotel
320,1004549,2,F,34.0,0.0,PE,AirBnB
321,1011960,5,M,47.0,1.0,IT,Hotel
322,1002008,2,M,,0.0,NL,AirBnB
323,1001883,3,F,46.0,1.0,,AirBnB
324,1005929,3,F,33.0,,ES,Hotel
325,1013564,3,M,43.0,1.0,AR,Hotel
326,1012971,1,F,,0.0,IT,Hotel
327,1007331,2,M,45.0,0.0,US,AirBnB
328,1006649,6,F,,0.0,COL,Hotel
329,1008393,5,M,,0.0,COL,AirBnB
330,1000325,2,M,38.0,0.0,UK,Hotel
331,1000606,3,F,44.0,0.0,ES,Hotel
332,1002315,1,F,34.0,1.0,US,Hotel
333,1003222,2,M,36.0,1.0,ES,AirBnB
334,1008838,5,F,,0.0,ES,Hotel
335,1001098,10,F,37.0,1.0,US,Hotel
336,1008807,3,M,35.0,0.0,UK,Hotel
337,1007202,10,F,44.0,0.0,ES,Hotel
338,1006178,6,M,38.0,0.0,,Hotel
339,1001647,3,F,43.0,1.0,AR,AirBnB
340,1000421,2,M,32.0,1.0,NL,AirBnB
341,1006682,3,F,42.0,0.0,US,Hotel
342,1002824,3,F,36.0,0.0,AR,AirBnB
343,1003988,3,M,44.0,0.0,,AirBnB
344,1004527,5,M,37.0,,UK,Hotel
345,1004076,2,F,37.0,1.0,US,Hotel
346,1006192,1,M,36.0,1.0,US,AirBnB
347,1013237,4,F,44.0,,,AirBnB
348,1000852,5,M,37.0,1.0,IT,AirBnB
349,1013305,2,M,42.0,0.0,US,AirBnB
350,1005277,1,M,42.0,1.0,IT,Hotel
351,1009936,6,F,36.0,0.0,ES,AirBnB
352,1006731,2,M,45.0,0.0,,AirBnB
353,1007381,5,F,39.0,0.0,US,AirBnB
354,1009855,3,F,40.0,0.0,ES,AirBnB
355,1007184,2,F,29.0,1.0,PE,Hotel
356,1004215,4,F,36.0,1.0,PE,Hotel
357,1001338,5,M,42.0,1.0,COL,Hotel
358,1009994,3,M,31.0,1.0,AR,AirBnB
359,1009240,3,F,43.0,0.0,UK,Hotel
360,1006408,5,F,31.0,,IT,AirBnB
361,1008678,3,F,40.0,0.0,AR,AirBnB
362,1012507,4,F,40.0,1.0,US,Hotel
363,1002933,1,F,42.0,0.0,IT,Hotel
364,1008189,3,M,35.0,,ES,Hotel
365,1000408,4,F,36.0,0.0,AR,AirBnB
366,1014054,3,M,45.0,1.0,UK,Hotel
367,1007209,6,F,41.0,0.0,ES,Hotel
368,1001244,3,F,42.0,1.0,UK,AirBnB
369,1012967,4,M,42.0,1.0,,Hotel
370,1003360,5,M,38.0,0.0,US,Hotel
371,1009401,4,F,41.0,1.0,,AirBnB
372,1003530,3,M,41.0,,AR,Hotel
373,1006343,4,M,34.0,1.0,AR,AirBnB
374,1007488,4,M,41.0,0.0,NL,AirBnB
375,1008159,4,F,40.0,0.0,,AirBnB
376,1004287,4,M,39.0,1.0,NL,AirBnB
377,1014030,2,M,40.0,,AR,AirBnB
378,1006222,7,M,42.0,1.0,AR,Hotel
379,1008403,6,M,43.0,1.0,,Hotel
380,1004455,3,M,,1.0,IT,Hotel
381,1012240,2,M,,0.0,COL,AirBnB
382,1003225,5,M,39.0,1.0,IT,AirBnB
383,1002864,4,F,,1.0,US,AirBnB
384,1006158,2,F,40.0,0.0,PE,AirBnB
385,1009089,6,F,29.0,1.0,NL,Hotel
386,1005636,5,F,41.0,1.0,ES,AirBnB
387,1009957,3,M,,0.0,UK,AirBnB
388,1002184,2,F,40.0,0.0,PE,AirBnB
389,1010713,1,M,39.0,0.0,,Hotel
390,1003831,4,M,,1.0,US,Hotel
391,1003129,4,F,31.0,0.0,US,AirBnB
392,1002712,3,F,42.0,1.0,US,AirBnB
393,1008729,8,F,42.0,0.0,,Hotel
394,1003458,9,M,42.0,1.0,NL,Hotel
395,1008876,4,F,48.0,1.0,COL,AirBnB
396,1012676,2,F,49.0,,NL,AirBnB
397,1002389,6,M,36.0,0.0,,Hotel
398,1006959,2,F,39.0,1.0,COL,Hotel
399,1008353,4,M,33.0,1.0,NL,AirBnB
400,1007151,3,M,,1.0,IT,Hotel
401,1000229,1,M,46.0,,ES,Hotel
402,1003172,4,M,38.0,0.0,UK,Hotel
403,1003898,6,F,44.0,1.0,UK,AirBnB
404,1010258,4,M,39.0,0.0,IT,Hotel
405,1010527,3,F,43.0,0.0,UK,Hotel
406,1007632,6,M,37.0,,UK,Hotel
407,1011334,3,F,36.0,1.0,US,Hotel
408,1000139,2,M,46.0,1.0,ES,Hotel
409,1012591,5,F,38.0,,PE,Hotel
410,1013781,1,F,37.0,0.0,COL,AirBnB
411,1008232,3,F,48.0,0.0,IT,Hotel
412,1001103,3,M,36.0,1.0,COL,AirBnB
413,1005121,5,F,29.0,0.0,UK,AirBnB
414,1005262,4,M,40.0,0.0,US,Hotel
415,1003461,4,M,33.0,,IT,Hotel
416,1001819,2,F,35.0,,IT,AirBnB
417,1009733,4,F,43.0,0.0,UK,Hotel
418,1007913,6,M,36.0,0.0,ES,Hotel
419,1004344,2,F,40.0,0.0,PE,AirBnB
420,1001785,5,M,45.0,0.0,NL,AirBnB
421,1010772,3,M,35.0,1.0,COL,AirBnB
422,1002643,5,M,,,IT,Hotel
423,1004827,3,M,39.0,1.0,ES,AirBnB
424,1007357,2,M,34.0,0.0,US,Hotel
425,1002708,2,F,41.0,1.0,IT,AirBnB
426,1000849,8,M,41.0,1.0,AR,Hotel
427,1007690,3,F,43.0,1.0,NL,AirBnB
428,1012636,5,F,39.0,0.0,UK,AirBnB
429,1007821,5,F,,1.0,ES,AirBnB
430,1009830,4,M,37.0,0.0,UK,Hotel
431,1008628,4,M,39.0,1.0,US,AirBnB
432,1010513,5,F,,0.0,ES,Hotel
433,1004137,9,M,35.0,1.0,US,AirBnB
434,1001165,3,M,30.0,0.0,US,Hotel
435,1000563,5,F,49.0,0.0,IT,Hotel
436,1008704,4,F,43.0,0.0,UK,Hotel
437,1000105,3,F,39.0,0.0,AR,AirBnB
438,1006725,6,M,46.0,0.0,PE,AirBnB
439,1007635,5,M,37.0,0.0,COL,Hotel
440,1009028,6,M,35.0,1.0,US,AirBnB
441,1000234,3,F,31.0,1.0,NL,Hotel
442,1001355,4,M,39.0,1.0,,AirBnB
443,1005608,4,F,29.0,1.0,ES,Hotel
444,1012295,5,F,43.0,1.0,COL,AirBnB
445,1012727,4,M,37.0,0.0,ES,Hotel
446,1005714,2,M,44.0,1.0,COL,Hotel
447,1009932,4,M,40.0,1.0,NL,AirBnB
448,1012512,4,M,33.0,1.0,IT,AirBnB
449,1011239,9,F,45.0,,,AirBnB
450,1012229,4,M,52.0,0.0,UK,AirBnB
451,1010393,1,M,44.0,1.0,UK,Hotel
452,1001334,4,M,46.0,0.0,,AirBnB
453,1010956,4,M,40.0,1.0,US,AirBnB
454,1005445,4,M,38.0,1.0,ES,AirBnB
455,1008952,4,F,41.0,1.0,ES,AirBnB
456,1000417,4,M,44.0,1.0,UK,Hotel
457,1013254,7,M,39.0,1.0,NL,AirBnB
458,1002119,6,F,34.0,1.0,AR,Hotel
459,1005583,3,M,37.0,1.0,UK,AirBnB
460,1003453,7,F,36.0,0.0,ES,AirBnB
461,1009959,3,M,42.0,1.0,IT,Hotel
462,1000047,3,F,32.0,1.0,NL,Hotel
463,1011220,4,M,39.0,1.0,US,AirBnB
464,1002758,3,M,46.0,0.0,NL,AirBnB
465,1011922,4,M,45.0,1.0,COL,Hotel
466,1010567,2,M,37.0,,IT,AirBnB
467,1012244,2,M,43.0,,AR,Hotel
468,1003057,6,M,38.0,1.0,ES,AirBnB
469,1011377,6,M,44.0,,AR,Hotel
470,1010720,4,F,,1.0,IT,AirBnB
471,1007174,2,M,37.0,0.0,,Hotel
472,1009976,5,F,40.0,1.0,NL,Hotel
473,1004741,4,F,38.0,0.0,UK,AirBnB
474,1008762,4,M,41.0,0.0,US,AirBnB
475,1002251,2,F,49.0,1.0,UK,AirBnB
476,1010276,1,M,38.0,1.0,UK,AirBnB
477,1007265,3,M,40.0,1.0,AR,AirBnB
478,1004022,7,M,34.0,0.0,,Hotel
479,1013571,2,M,,1.0,NL,Hotel
480,1001664,1,F,33.0,1.0,PE,Hotel
481,1004591,6,F,52.0,0.0,PE,Hotel
482,1008218,5,F,39.0,1.0,ES,Hotel
483,1003098,4,F,30.0,1.0,AR,Hotel
484,1000918,2,M,44.0,0.0,ES,AirBnB
485,1006918,1,M,,0.0,UK,AirBnB
486,1006592,4,M,41.0,0.0,PE,AirBnB
487,1004817,2,F,40.0,1.0,,Hotel
488,1004572,8,F,48.0,0.0,ES,Hotel
489,1006074,6,F,30.0,0.0,PE,AirBnB
490,1011795,4,F,,0.0,NL,Hotel
491,1001916,3,M,42.0,,COL,AirBnB
492,1007248,3,M,40.0,1.0,ES,AirBnB
493,1009629,6,F,42.0,1.0,PE,AirBnB
494,1011553,6,F,35.0,0.0,US,AirBnB
495,1000519,8,M,37.0,0.0,COL,Hotel
496,1008875,5,F,40.0,0.0,PE,AirBnB
497,1010882,4,M,36.0,,AR,Hotel
498,1008715,4,M,32.0,1.0,PE,AirBnB
499,1012816,6,F,47.0,,US,AirBnB
500,1001264,3,M,,0.0,US,AirBnB
501,1001352,5,F,45.0,1.0,PE,AirBnB
502,1008026,2,M,40.0,1.0,COL,AirBnB
503,1004351,3,F,36.0,,US,Hotel
504,1002995,3,F,40.0,0.0,PE,AirBnB
505,1007866,4,F,33.0,1.0,UK,Hotel
506,1005252,4,M,35.0,1.0,,AirBnB
507,1009187,5,F,52.0,,US,AirBnB
508,1001462,2,M,45.0,1.0,NL,Hotel
509,1011725,7,F,41.0,0.0,AR,Hotel
510,1004764,4,M,39.0,1.0,ES,AirBnB
511,1009854,4,M,41.0,1.0,AR,Hotel
512,1005632,5,F,43.0,1.0,PE,AirBnB
513,1008380,5,M,37.0,1.0,NL,AirBnB
514,1008171,4,M,40.0,0.0,UK,Hotel
515,1011539,4,M,,0.0,,AirBnB
516,1002101,4,F,42.0,1.0,ES,AirBnB
517,1008360,1,M,34.0,0.0,PE,Hotel
518,1012241,1,M,40.0,0.0,PE,Hotel
519,1007548,5,F,33.0,0.0,ES,AirBnB
520,1000985,4,F,42.0,0.0,COL,Hotel
521,1000600,1,M,43.0,1.0,ES,Hotel
522,1002778,4,M,34.0,0.0,NL,Hotel
523,1011286,4,F,46.0,0.0,AR,Hotel
524,1002385,4,F,40.0,,,AirBnB
525,1002241,2,M,31.0,,ES,Hotel
526,1013459,1,M,,1.0,NL,Hotel
527,1013311,3,M,41.0,1.0,COL,Hotel
528,1010843,2,M,32.0,1.0,US,AirBnB
529,1003343,2,F,43.0,1.0,IT,AirBnB
530,1008873,4,F,44.0,1.0,COL,AirBnB
531,1008501,2,M,47.0,1.0,IT,Hotel
532,1002603,4,M,,1.0,UK,Hotel
533,1012503,3,F,43.0,0.0,IT,Hotel
534,1006505,2,F,46.0,1.0,US,AirBnB
535,1013067,4,F,43.0,1.0,NL,AirBnB
536,1007922,5,M,45.0,1.0,IT,Hotel
537,1001656,6,F,31.0,1.0,COL,Hotel
538,1002336,4,M,51.0,1.0,IT,Hotel
539,1005195,2,F,41.0,1.0,COL,AirBnB
540,1006365,4,F,39.0,1.0,ES,Hotel
541,1009577,8,F,,1.0,US,AirBnB
542,1001309,5,F,39.0,0.0,AR,AirBnB
543,1002963,4,F,31.0,1.0,AR,Hotel
